Player,firstServe,ace,double,firstPointWon,secPointWon,fastServe1,break,return,total,winner,error,,,
Andy Murray,59.80%,9.00,4.20,69.40%,39.40%,213.40,35.00%,33%,-104.20,-32.00,48.60,,32.00,104.20
Stanislas Wawrinka,55.00%,19,2,87.00%,51.00%,217,33.00%,44.00%,-116,-53,49,,53.00,116.00
Marin Cilic,62%,11.00,4.00,69%,51%,210.00,22%,29%,-128.00,-46.00,48.00,,46.00,128.00
Rafael Nadal,71%,4.75,3.50,64%,48%,200.00,42%,34%,-144.00,-37.00,43.00,,37.00,144.00
Novak Djokovic,63.00%,7.60,1.80,69.20%,60.80%,204.60,39.80%,43%,-139.40,-42.80,48.80,,42.80,139.40
Roger Federer,60.00%,14.75,3.5,75.25%,53.25%,207,35.25%,38.75%,-148,-57.75,56.25,,57.75,148.00
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Rafael Nadal,224.00,,,,,,,,,,,,,
Roger Federer,262.00,,,,,,,,,,,,,
Novak Djokovic,231.00,,,,,,,,,,,,,
Stanislas Wawrinka,218.00,,,,,,,,,,,,,
Andy Murray,184.80,,,,,,,,,,,,,
Marin Cilic,222.00,,,,,,,,,,,,,
